ts,best_ask,best_bid,mid,spread_pct,vwap_ask5,vwap_bid5,vol_ask,vol_bid,imbalance,bcv
2026-09-02T01:02:36+00:00,870.1,966.3,918.2,-10.47702,953.462069,963.588959,352135.7,472831.23,0.1463,
2026-09-02T05:41:13+00:00,966.8,964.446,965.623,0.24378,966.989359,963.266446,1500232.11,195868.6,-0.76904,
2026-09-02T09:55:07+00:00,966.95,963.597,965.2735,0.34736,967.102092,962.719665,1665328.74,154016.07,-0.83069,
2026-09-02T14:00:31+00:00,960.5,961.001,960.7505,-0.05215,960.889515,960.974219,410328.75,155294.28,-0.45089,
2026-09-02T17:50:30+00:00,967.5,972.8,970.15,-0.54631,968.397677,968.147421,218782.72,632983.35,0.48628,
2026-09-02T20:08:50+00:00,969.0,969.5,969.25,-0.05159,969.785662,969.304355,5972.6,780336.69,0.98481,
